City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
239,kailua,US,77.0,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
240,minador do negrao,BR,68.5,scattered clouds,-9.3053,-36.8647,
243,labuhan,ID,83.44,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
244,chuy,UY,66.43,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
248,cape town,ZA,73.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
249,bengkulu,ID,85.35,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
250,cidreira,BR,73.18,overcast clouds,-30.1811,-50.2056,Hotel Castelo
253,ibotirama,BR,67.93,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
254,buraydah,SA,57.2,clear sky,26.326,43.975,Mövenpick Hotel Qassim
259,tanout,NE,66.13,clear sky,14.9709,8.8879,
264,dwarka,IN,77.56,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
266,pacifica,US,57.0,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
268,panguna,PG,77.05,overcast clouds,-6.3164,155.4848,
270,ahipara,NZ,67.66,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
271,salgar,CO,57.2,broken clouds,5.965,-75.9654,TRITURADOS PEÑA LISA
276,pardi,IN,80.6,haze,20.5167,72.95,Hotel Vishram &Guest House
277,poso,ID,81.0,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
279,camana,PE,69.44,broken clouds,-16.6228,-72.7111,Hostal Morales
281,ambo,PE,61.66,light rain,-10.1308,-76.2047,La Loma Resort
282,kieta,PG,83.82,overcast clouds,-6.2167,155.6333,
285,gasa,PS,57.0,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
286,lakes entrance,AU,72.0,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
288,north bend,US,50.0,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
289,nabire,ID,83.82,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
290,maceio,BR,73.4,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
291,sumbe,AO,78.06,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
292,sungaipenuh,ID,81.14,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
293,necochea,AR,62.01,light rain,-38.5473,-58.7368,dyd -mar Hotel
294,arraial do cabo,BR,75.13,clear sky,-22.9661,-42.0278,Pousada Porto Praia
295,amalapuram,IN,82.4,haze,16.5833,82.0167,swayamprabha service apartments
296,thanh hoa,VN,58.08,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
298,ambon,ID,89.6,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
304,te anau,NZ,56.52,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
305,kavaratti,IN,82.33,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
306,tuatapere,NZ,53.08,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
308,joshimath,IN,64.04,clear sky,30.5667,79.5667,Shivalik Camps & Resort
310,coihaique,CL,51.49,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
312,adrar,MR,55.06,broken clouds,20.5022,-10.0711,
313,dingle,PH,81.03,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
314,jatai,BR,67.84,light rain,-17.8814,-51.7144,Hotel Califórnia
315,humaita,BR,73.04,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
316,shimoda,JP,51.8,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
317,kanye,BW,79.92,broken clouds,-24.9667,25.3327,The Savanna Lodge
319,saint george,US,50.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
320,natal,BR,78.8,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
321,kamalapuram,IN,82.4,haze,14.5833,78.65,Gaffar
322,san policarpo,PH,81.95,overcast clouds,12.1791,125.5072,JM Lodge
325,chaman,PK,57.36,clear sky,30.9236,66.4512,Hayatullah achakzai tandor
327,luena,AO,65.75,light rain,-11.7833,19.9167,Hotel Kandamba
328,vilhena,BR,70.39,light rain,-12.7406,-60.1458,Hotel Mirage
329,garowe,SO,78.06,clear sky,8.4054,48.4845,Curubo Hotel
330,palu,ID,76.57,heavy intensity rain,-0.8917,119.8707,Hotel Santika Palu
331,abu dhabi,AE,64.4,clear sky,24.4667,54.3667,Beach Rotana
332,san luis,AR,54.52,clear sky,-33.295,-66.3356,Huarpes Hotel
337,lagoa,PT,61.95,overcast clouds,39.05,-27.9833,Casa Das Faias
338,kismayo,SO,82.38,scattered clouds,-0.3582,42.5454,Agan-Hotel
339,tres arroyos,AR,59.11,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
341,yeppoon,AU,87.8,overcast clouds,-23.1333,150.7333,Villa Mar Colina
342,saint-georges,GD,77.0,scattered clouds,12.0564,-61.7485,Siesta Hotel
343,jacmel,HT,71.6,overcast clouds,18.2342,-72.5347,Hotel Florita
345,nhulunbuy,AU,84.2,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
347,zaranj,AF,55.4,clear sky,30.9667,61.8833,غزنوی هوتل
348,gold coast,AU,81.0,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
350,tahoua,NE,64.4,clear sky,14.8888,5.2692,Bungalows Guesthouse
352,gombong,ID,86.67,light rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
353,victoria,HK,66.99,few clouds,22.2855,114.1577,Mini Hotel Central
355,caravelas,BR,73.53,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
357,muri,IN,69.8,haze,23.3667,85.8667,Sanyasi Lodge
360,arrecife,ES,62.6,broken clouds,28.963,-13.5477,Hotel Lancelot
361,sinnamary,GF,77.2,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
362,coquimbo,CL,57.2,clear sky,-29.9533,-71.3436,Hotel San Juan
363,alofi,NU,80.6,overcast clouds,-19.0595,-169.9187,Taloa Heights
364,guayaramerin,BO,74.39,light rain,-10.8368,-65.3614,Hostal Funf
365,lebu,CL,54.73,clear sky,-37.6167,-73.65,Hostal Las Lilas
373,nelson bay,AU,75.99,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
377,cotonou,BJ,78.8,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
378,yaan,NG,75.25,scattered clouds,7.3833,8.5667,
379,ancud,CL,50.0,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
380,san-pedro,CI,73.9,light rain,4.7485,-6.6363,Hotel Maria
383,ginir,ET,68.59,scattered clouds,7.1333,40.7,Sura Dare Village
386,kahului,US,75.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
388,ortigueira,BR,66.88,overcast clouds,-24.2083,-50.9494,Village Das Araucarias
389,kirakira,SB,83.88,scattered clouds,-10.4544,161.9205,SanBiz Lodge
390,lucapa,AO,72.19,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
393,mabaruma,GY,71.4,moderate rain,8.2,-59.7833,
394,tocopilla,CL,65.46,broken clouds,-22.092,-70.1979,Hotel Galvarino
395,navrongo,GH,66.58,broken clouds,10.8956,-1.0921,Azakka Hotel
396,la asuncion,VE,75.45,light rain,11.0333,-63.8628,Colinas de Matasiete
399,mayumba,GA,78.96,broken clouds,-3.432,10.6554,LIKWALE LODGE
401,srisailam,IN,82.06,clear sky,16.0833,78.8667,Vasavi Satram
403,tura,IN,76.37,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
404,charagua,BO,67.8,overcast clouds,-19.8,-63.2167,Residencial Luismar
409,xiongzhou,CN,58.1,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
411,lavumisa,SZ,75.2,overcast clouds,-27.31,31.892,ROADSIDE B&B
413,panacan,PH,87.8,light rain,9.2463,118.4082,Mom's Place Resort
414,pisco,PE,68.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
416,lorengau,PG,83.66,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
417,buta,CD,78.01,clear sky,2.7858,24.73,HOTEL BISO NA BISO
419,pilar,BR,73.4,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
422,banjar,ID,86.0,light rain,-8.19,114.9675,The Hamsa Resort
